doi,n_xyz_total,n_xyz_matched,n_leaves_total,n_leaves_with_any_label
10.1002/adfm.202101019,5,0,1,0
10.1002/adfm.202101059,1,0,1,0
10.1002/adfm.202101324,2,0,1,0
10.1002/adfm.202101593,1,0,1,0
10.1002/adfm.202102158,1,0,1,0
10.1002/adfm.202102511,1,0,1,0
10.1002/adfm.202102635,1,0,1,0
10.1002/adfm.202102648,3,0,1,0
10.1002/adfm.202102772,1,0,1,0
10.1002/adfm.202102896,2,0,1,0
10.1002/adfm.202102917,4,1,1,1
10.1002/adfm.202103171,10,0,1,0
10.1002/adfm.202103569,1,0,1,0
10.1002/adfm.202103601,5,0,1,0
10.1002/adfm.202103732,7,0,1,0
10.1002/adfm.202103847,1,0,1,0
10.1002/adfm.202104286,1,0,1,0
10.1002/adfm.202104638,1,0,1,0
10.1002/adfm.202104735,1,0,1,0
10.1002/adfm.202104746,1,0,1,0
10.1002/adfm.202104864,1,0,1,0
10.1002/adfm.202105026,10,0,1,0
10.1002/adfm.202105372,1,0,1,0
10.1002/adfm.202106102,1,0,1,0
10.1002/adfm.202106156,2,0,1,0
10.1002/adfm.202106645,16,0,1,0
10.1002/adfm.202106923,1,0,1,0
10.1002/adfm.202106958,1,0,1,0
10.1002/adfm.202106966,1,0,1,0
10.1002/adfm.202107182,1,0,1,0
10.1002/adfm.202107308,1,0,1,0
10.1002/adfm.202107333,2,0,1,0
10.1002/adfm.202107802,4,0,1,0
10.1002/adfm.202108167,3,0,1,0
10.1002/adfm.202108278,3,0,1,0
10.1002/adfm.202108345,4,0,1,0
10.1002/adfm.202108464,4,0,1,0
10.1002/adfm.202108814,8,0,1,0
10.1002/adfm.202108861,1,0,1,0
10.1002/adfm.202108953,1,0,1,0
10.1002/adfm.202108991,3,0,1,0
10.1002/adfm.202109421,4,0,1,0
10.1002/adfm.202110224,3,0,1,0
10.1002/adfm.202110649,1,0,1,0
10.1002/adfm.202110694,1,0,1,0
10.1002/adfm.202110857,1,0,1,0
10.1002/adfm.202111272,1,0,1,0
10.1002/adfm.202111396,1,0,1,0
10.1002/adfm.202111446,1,0,1,0
10.1002/adfm.202111466,2,0,1,0
10.1002/adfm.202111565,3,0,1,0
